Algorithm,Lines,SortedTime(ns),ShuffledTime(ns),ReversedTime(ns)
merge,1,3458,458,208
merge,51,237583,164084,89584
merge,101,515333,198458,167958
merge,151,836208,497708,403375
merge,201,430167,332250,288625
merge,251,1687458,1496750,716417
merge,301,799667,555083,582708
merge,351,696458,631709,480583
merge,401,2255875,1131083,233000
merge,451,1003292,1108583,252167
merge,501,1912125,2965042,1234459
merge,551,1760958,1305666,416667
merge,601,1605916,1113584,419542
merge,651,1440542,788250,388958
merge,701,1330208,605208,368584
merge,751,1443791,726042,386000
merge,801,1729375,513709,416042
merge,851,1236125,321291,245667
merge,901,2177625,553125,269333
merge,951,1425417,375584,307250
merge,1001,1376041,356750,308167
merge,1051,2710541,968667,853708
merge,1101,2371750,743042,725000
merge,1151,2358875,596291,706959
merge,1201,3326542,954666,922917
merge,1251,2536042,980250,734541
merge,1301,2858709,906292,678250
merge,1351,1866583,625417,475166
merge,1401,1871459,535583,429000
merge,1451,1533042,675958,579417
merge,1501,1753500,596333,522292
merge,1551,1679416,588667,518416
merge,1601,1802042,601666,506750
merge,1651,1607625,645500,544166
merge,1701,1616959,650250,531584
merge,1751,1649750,670916,533750
quick,1,3625,458,208
quick,51,592750,79042,58917
quick,101,1244000,120166,234750
quick,151,2268333,212792,256875
quick,201,2158125,215083,457291
quick,251,3280041,338541,717500
quick,301,4811292,387375,722542
quick,351,6553250,540041,825417
quick,401,6350417,662375,1124958
quick,451,7438083,960166,1583583
quick,501,9233166,998583,1800875
quick,551,10008667,1423166,2462667
quick,601,17047875,2027458,3174792
quick,651,16919292,2583666,5097208
quick,701,16367708,2397500,3919375
quick,751,17184167,2552125,4480750
quick,801,18917791,2958250,5155541
quick,851,20947583,3370125,6171459
quick,901,22739750,3794583,6830666
quick,951,25573625,4970208,9060417
quick,1001,27605625,4565667,8938333
quick,1051,30019708,5119375,9313125
quick,1101,32337667,5574250,10773250
quick,1151,35141208,6133000,12218166
quick,1201,37775500,6630750,13851709
quick,1251,40592083,7327625,4316125
quick,1301,43845416,7555542,16136625
quick,1351,47067042,8288875,15559042
quick,1401,51533792,8274500,13573458
quick,1451,52627792,8663333,8001584
quick,1501,57165667,10041042,11428750
quick,1551,61075292,10931791,4494875
quick,1601,43541166,11627125,17213708
quick,1651,58935792,7218250,10045458
quick,1701,58931083,7252708,10484750
quick,1751,45175750,12463292,15603625
heap,1,3958,541,208
heap,51,326291,129167,35583
heap,101,359667,152916,55833
heap,151,389417,204500,44209
heap,201,491167,162834,58458
heap,251,2425042,760000,150833
heap,301,684625,131833,52792
heap,351,3162542,460708,173958
heap,401,1098667,152958,63708
heap,451,1218833,177625,70041
heap,501,810666,182834,86250
heap,551,835875,179208,94709
heap,601,941875,236542,102208
heap,651,1357708,265250,104750
heap,701,969125,260208,117042
heap,751,1007917,296625,126709
heap,801,1026625,286333,136042
heap,851,881292,277458,142208
heap,901,843333,309667,150166
heap,951,914875,321833,158875
heap,1001,888625,358292,168041
heap,1051,953625,315167,174750
heap,1101,1042667,361000,182208
heap,1151,957834,433833,190667
heap,1201,1023375,420667,198792
heap,1251,1256708,384958,206667
heap,1301,1264334,499291,214667
heap,1351,1529959,529458,226416
heap,1401,1680500,565834,230333
heap,1451,1687875,586666,237917
heap,1501,1587625,630291,245542
heap,1551,1482833,611542,255542
heap,1601,1517500,667458,263916
heap,1651,1608833,520125,275167
heap,1701,1612584,637334,279709
heap,1751,1612166,705208,286209
bubble,1,3709,875,500
bubble,51,454042,312667,448250
bubble,101,1159792,3332584,672875
bubble,151,1823791,2837583,1509042
bubble,201,4244542,2361208,4543917
bubble,251,6074750,4976667,1123625
bubble,301,6285166,5924042,2039458
bubble,351,6347709,4849375,2383958
bubble,401,6775209,6063834,3757000
bubble,451,7827084,6425709,3661334
bubble,501,7513750,6615542,3988584
bubble,551,9628208,7036125,2714541
bubble,601,10768416,8696958,1641083
bubble,651,11825042,12563708,1248500
bubble,701,13044083,15920625,1458666
bubble,751,14461333,13230875,10836792
bubble,801,15802417,15374083,15272417
bubble,851,15112750,12873625,2639042
bubble,901,18690750,21407792,2518042
bubble,951,20297917,26554625,2627875
bubble,1001,22243500,12871000,3708833
bubble,1051,24166875,20955458,3378167
bubble,1101,25986333,26374041,4401708
bubble,1151,28033500,20918709,4704250
bubble,1201,30075959,21675083,5150125
bubble,1251,32416166,24918625,5499041
